songid,Song_Name,Artist,Year,Winner
ID0001,04:44,"Jay-Z , Dion Wilson",2017,FALSE
ID0002,1-800-273-8255,"Alessia Cara, Logic, Arjun Ivatury , Khalid",2017,FALSE
ID0003,A Thousand Miles,Vanessa Carlton,2003,FALSE
ID0004,Adorn,Miguel,2013,FALSE
ID0005,All About That Bass,"Kevin Kadish , Meghan Trainor",2015,FALSE
ID0006,All Of The Lights,"Jeff Bhasker, Malik Jones, Warren Trotter , Kanye West",2012,FALSE
ID0007,All The Stars,"Kendrick Lamar, SZA, Al Shuckburgh, Mark Spears , Anthony Tiffith",2018,FALSE
ID0008,Alright,"Kendrick Lamar, Mark Anthony Spears , Pharrell",2016,FALSE
ID0009,Always Remember Us This Way,"Natalie Hemby, Lady Gaga, Hillary Lindsey , Lori McKenna",2019,FALSE
ID0010,American Boy,"William Adams, Keith Harris, Josh Lopez, Caleb Speir, John Stephens, Estelle Swaray , Kanye West",2009,FALSE
ID0011,Bad Guy,"Billie Eilish O’Connell , Finneas O’Connell",2019,TRUE
ID0012,Be Without You,"Johnta Austin, Mary J. Blige, Bryan-Michael Cox , Jason Perry",2007,FALSE
ID0013,Beautiful,Linda Perry,2004,FALSE
ID0014,Beautiful Day,U2,2001,TRUE
ID0015,Before He Cheats,"Josh Kear , Chris Tompkins",2008,FALSE
ID0016,Beg Steal Or Borrow,Ray LaMontagne,2011,FALSE
ID0017,Blank Space,"Max Martin, Shellback , Taylor Swift",2016,FALSE
ID0018,Bless The Broken Road,"Bobby Boyd, Jeff Hanna , Marcus Hummon",2006,FALSE
ID0019,Boo'd Up,"Larrance Dopson, Joelle James, Ella Mai , Dijon McFarlane",2018,FALSE
ID0020,Breathe,"Stephanie Bentley , Holly Lamar",2001,FALSE
ID0021,Bring My Flowers Now,"Brandi Carlile, Phil Hanseroth, Tim Hanseroth , Tanya Tucker",2019,FALSE
ID0022,Call Me Maybe,Carly Rae Jepson,2013,FALSE
ID0023,Chandelier,Sia,2015,FALSE
ID0024,Chasing Pavements,"Adele Adkins , Eg White",2009,FALSE
ID0025,Complicated,"Avril Lavigne , The Matrix",2003,FALSE
ID0026,Dance With My Father,"Richard Marx , Luther Vandross",2004,TRUE
ID0027,Daughters,John Mayer,2005,TRUE
ID0028,Despacito,"Daddy Yankee, Justin Bieber, Jason Poo Bear Boyd, Erika Ender, Luis Fonsi , Marty James Garton",2017,FALSE
ID0029,Devil & Dust,Bruce Springsteen,2006,FALSE
ID0030,Don't Know Why,Jesse Harris,2003,TRUE
ID0031,Drops Of Jupiter,"Charlie Colin, Rob Hotchkiss, Pat Monahan, Jimmy Stafford , Scott Underwood",2002,FALSE
ID0032,F*** Yo,"Cee Lo Green, Phillip Lawrence , Bruno Mars",2011,FALSE
ID0033,Fallin,Alicia Keys,2002,TRUE
ID0034,Girl Crush,"Hillary Lindsey, Lori McKenna , Liz Rose",2016,FALSE
ID0035,God's Plan,"Drake, Daveon Jackson, Brock Korsan, Ron LaTour, Matthew Samuels , Noah Shebib",2018,FALSE
ID0036,Grenade,"Brody Brown, Claude Kelly, Philip Lawrence, Ari Levine, Bruno Mars , Andrew Wyatt",2012,FALSE
ID0037,Hard Place,"Ruby Amanfu, Sam Ashworth, D. Arcelious Harris. H.E.R. , Rodney Jerkins",2019,FALSE
ID0038,Hey There Delilah,Tom Higgenson,2008,FALSE
ID0039,Holocene,Justin Vernon,2012,FALSE
ID0040,I Don't Want To Miss A Thing,Diane Warren,1999,FALSE
ID0041,I Hope You Dance,"Mark D. Sanders , Tia Sellers",2001,FALSE
ID0042,I Try,"Macy Gray, Jinsoo Lim, Jeremy Ruzumna , David Wilder",2001,FALSE
ID0043,I Want It That Way,"Andreas Carlsson , Max Martin",2000,FALSE
ID0044,If I Ain't Got You,Alicia Keys,2005,FALSE
ID0045,I'm Like A Bird,Nelly Furtado,2002,FALSE
ID0046,I'm With You,"Avril Lavigne , The Matrix",2004,FALSE
ID0047,I'm Yours,Jason Mraz,2009,FALSE
ID0048,In My Blood,"Teddy Geiger, Scott Harris, Shawn Mendes , Geoffrey Warburton",2018,FALSE
ID0049,Iris,John Rzeznik,1999,FALSE
ID0050,Issues,"Benjamin Levin, Mikkel Storleer, Tor Erik Hermansen, Julia Michaels , Justin Drew Tranter",2017,FALSE
ID0051,Jesus Walks,"C. Smith , Kanye West",2005,FALSE
ID0052,"Jesus, Take The Wheel","Brett James, Hillary Lindsey , Gordie Sampso",2007,FALSE
ID0053,Just Give Me A Reason,"Jeff Bhasker, Pink , Nate Ruess",2014,FALSE
ID0054,Keep Me In Your Heart,"Jorge Calderon , Warren Zevon",2004,FALSE
ID0055,Lean On Me,Kirk Franklin,1999,FALSE
ID0056,Like a Star,Corinne Bailey Rae,2008,FALSE
ID0057,Live Like You Were Dying,"Tim Nichols , Craig Wiseman",2005,FALSE
ID0058,Livin' La Vida Loca,"Desmond Child , Robi Rosa",2000,FALSE
ID0059,Locked Out Of Heaven,"Phillip Lawrence, Art Levine , Bruno Mars",2014,FALSE
ID0060,Lose Yoursel,Lose Yoursel,2004,FALSE
ID0061,Love Song,Sara Bareilles,2009,FALSE
ID0062,Love The Way You Lie,"Alexander Grant, Holly Hafferman , Eminem",2011,FALSE
