twitterid,twitter_username,twitter_userid,domain,name,followers_count,tweet_count
ID0001,aaronpaul_8,332638587,slashfilm.com,Aaron Paul,2525682,31
ID0002,AdalRamones,96187825,,Adal Ramones,2690928,37481
ID0003,adamlambert,46576295,adamofficial.com,ADAM LAMBERT,2328907,9496
ID0004,adamlevine,58528137,maroon5.com,Adam Levine,7916864,5975
ID0005,AdamSchefter,51263592,,Adam Schefter,9453827,59882
ID0006,Adela_Micha,70805914,adelamicha.com,Adela Micha,4959798,98723
ID0931,Adele,184910040,adele.com,Adele,27422005,356
ID0008,Akon,25421094,akon.com,AKON,6193666,1842
ID0009,AlanCarr,7.24597E+17,alancarr.net,Alan Carr,3,21
ID0010,AlbertoCiurana,24516380,univision.com,Alberto Ciurana,1098008,90396
ID0011,LAAZCARATE,176315005,,ALEJANDRA AZCÁRATE,4599549,7039
ID0012,alexoficial,59900378,alejandrofernandez.com,Alejandro Fernandez,6783668,8601
ID0013,AlejandroSanz,43152482,alejandrosanz.com,Alejandro Sanz,19778216,30777
ID0014,VigilanteArtist,169272033,alejandrovigilante.com,Alejandro Vigilante,583438,62518
ID0015,syntekoficial,36307418,syntekoficial.com,Aleks Syntek,4615724,23019
ID0016,PointlessBlog,,YouTube.com,Alfie Deyes,,
ID0017,AlfredoFlores,19743731,,Alfredo Flores,2440138,41380
ID0018,aliciakeys,35094637,aliciakeys.com,Alicia Keys,30086442,10732
ID0019,alinebarros,39338168,alinebarros.com.br,Aline Barros,4729971,16046
ID0020,gitagut,90109872,gitagut.blog.com,Aluna Sagita Gutawa,4636016,8785
ID0021,Alyssa_Milano,26642006,Alyssa.com,Alyssa Milano,3635460,75967
ID0022,DaRealAmberRose,155620016,amberroseeyewear.com,Amber Rose,3788679,14353
ID0023,SrBachchan,145125358,srbachchan.tumblr.com,Amitabh Bachchan,47422403,68863
ID0024,amrdiab,46247180,amrdiab.net,Amr Diab,11554240,3130
ID0025,amrkhaled,66959303,AmrKhaled.net,Amr Khaled,11177532,18265
ID0026,amrwaked,230288829,zadcomm.com,Amr Waked,7325245,23404
ID0027,amyschumer,55117855,amyschumer.com,Amy Schumer,4437005,200
ID0028,ahickmann,43394391,anahickmann.com.br,Ana Hickmann,6160047,25926
ID0029,ANAMARIABRAGA,36679967,anamariabraga.globo.com,Ana Maria Braga,4735708,13421
ID0030,andersoncooper,15224867,andersoncooper.com,Anderson Cooper,10032998,18362
ID0031,SpiderAnderson,246225682,spidersilva.com,Anderson Silva,7511295,3882
ID0032,AndreaLegarreta,142519598,,Andrea Legarreta,5559260,23388
ID0033,AndreaSernaTV,143490635,andreaserna.net,Andrea Serna,3657433,30207
ID0034,andrescepeda,146985042,andrescepeda.com.co,Andrés Cepeda,3174681,17998
ID0035,andresiniesta8,90836187,andresiniesta.es,Andrés Iniesta,25303336,3238
ID0036,lopezandres,33905807,AndresLopez.com,Andres Lopez Forero,3386481,29868
ID0037,Buenafuente,6809022,andreubuenafuente.com,Andreu Buenafuente,3627255,14500
ID0038,andy_murray,14123683,andymurray.com,Andy Murray,3557843,3118
ID0039,143redangel,61507091,angellocsin.com.ph,Angel Locsin,12735874,12300
ID0040,Angelluisr,20490840,verawear.mobapp.at,Angel Rivera,1129726,8419
ID0041,angelicaksy,46277588,,angelica huck,4788432,6901
ID0042,sectorkekz,108345784,,Angelica Panganiban,4322212,13078
ID0043,angelicavale,43859592,,Angelica Vale,2614255,21667
ID0044,Anggun_Cipta,24002803,anggun.com,Anggun Official,3866919,13911
ID0045,AnnaKendrick47,59949396,,Anna Kendrick,7001752,2470
ID0046,annecurtissmith,23563916,anne.ph,Anne Curtis-Smith,14396835,53494
ID0047,AnselElgort,216201838,,Ansel Elgort,3261672,1985
ID0048,antanddec,17386885,officialantanddec.com,antanddec,6817801,15924
ID0049,Bourdain,14353392,,Anthony Bourdain,6646761,13370
ID0050,smoshanthony,7.38764E+17,SMOSHTheMovie.com,Anthony Padilla,370,2
ID0051,AnupamPkher,76294950,actorprepares.net,Anupam Kher,19737080,41548
ID0052,AnushkaSharma,54829997,,Anushka Sharma,23016220,4702
ID1522,ArianaGrande,,smarturl.it,Ariana Grande,,
ID0054,rampalarjun,108936259,,arjun rampal,4485301,5752
ID0055,Schwarzenegger,12044602,schwarzenegger.com,Arnold,5154881,7641
