youtubeid,Country,Channel_Name,Category,username,followers,Likes,Views,Views_Avg,Comments_Avg
ID921,KW,AboFlah,Gaming,AboFlah,25900000,364937178.3,3512893392,7485437.5,35452.38983
ID921,KW,AboFlah,Gaming,AboFlah,25900000,364937178.3,3512893392,7485437.5,35452.38983
ID923,PH,ABS-CBN Entertainment,TV shows,ABS-CBN Entertainment,39800000,240442177.4,46854726788,140689.8486,103.9998134
ID923,PH,ABS-CBN Entertainment,TV shows,ABS-CBN Entertainment,39800000,240442177.4,46854726788,140689.8486,103.9998134
ID923,PH,ABS-CBN Entertainment,TV shows,ABS-CBN Entertainment,39800000,240442177.4,46854726788,140689.8486,103.9998134
ID923,PH,ABS-CBN Entertainment,TV shows,ABS-CBN Entertainment,39800000,240442177.4,46854726788,140689.8486,103.9998134
ID923,PH,ABS-CBN Entertainment,TV shows,ABS-CBN Entertainment,39800000,240442177.4,46854726788,140689.8486,103.9998134
ID923,PH,ABS-CBN Entertainment,TV shows,ABS-CBN Entertainment,39800000,240442177.4,46854726788,140689.8486,103.9998134
ID923,PH,ABS-CBN Entertainment,TV shows,ABS-CBN Entertainment,39800000,240442177.4,46854726788,140689.8486,103.9998134
ID923,PH,ABS-CBN Entertainment,TV shows,ABS-CBN Entertainment,39800000,240442177.4,46854726788,140689.8486,103.9998134
ID931,GB,Adele,Rhythm and blues,Adele,28600000,1187550,12498528899,1149945,4074
ID931,GB,Adele,Rhythm and blues,Adele,28600000,1187550,12498528899,1149945,4074
ID933,NO,Alan Walker,Music,Alan Walker,42000000,55641776.54,11617072443,4189688.75,8457.615385
ID933,NO,Alan Walker,Music,Alan Walker,42000000,55641776.54,11617072443,4189688.75,8457.615385
ID933,NO,Alan Walker,Music,Alan Walker,42000000,55641776.54,11617072443,4189688.75,8457.615385
ID933,NO,Alan Walker,Music,Alan Walker,42000000,55641776.54,11617072443,4189688.75,8457.615385
ID933,NO,Alan Walker,Music,Alan Walker,42000000,55641776.54,11617072443,4189688.75,8457.615385
ID933,NO,Alan Walker,Music,Alan Walker,42000000,55641776.54,11617072443,4189688.75,8457.615385
ID933,NO,Alan Walker,Music,Alan Walker,42000000,55641776.54,11617072443,4189688.75,8457.615385
ID933,NO,Alan Walker,Music,Alan Walker,42000000,55641776.54,11617072443,4189688.75,8457.615385
